Files with a maintainer. If you wish to change a file, please contact the
maintainer of the file to do the change.

The third column specifies, where/how the maintainer should be contacted. If
there is no reaction from the mainainer within 3 weeks, then rudolfkoenig
(forum.fhem.de/FHEM Forum) should be contacted, in order to assign a new
maintainer.

When adding a new file, add yourself as the maintainer.

File                         Maintainer           Forum
FHEM/52_I2C_K30              yoda_gh              Sonstige Systeme
FHEM/52_I2C_LM75A            clumsy               Sonstige Systeme
FHEM/52_I2C_MCP23008         klausw               Sonstige Systeme
FHEM/52_I2C_MCP23017         klausw               Sonstige Systeme
FHEM/52_I2C_MCP342x          klausw               Sonstige Systeme
FHEM/52_I2C_MMA845X          jensb                Sonstige Systeme
FHEM/52_I2C_PCA9532          klausw               Sonstige Systeme
FHEM/52_I2C_PCA9685          klausw               Sonstige Systeme
FHEM/52_I2C_PCF8574          klausw               Sonstige Systeme
FHEM/52_I2C_SHT21            klausw               Sonstige Systeme
FHEM/52_I2C_SHT3x            macs                 Sonstige Systeme
FHEM/52_I2C_TSL2561          jensb                Sonstige Systeme
FHEM/53_GHoma.pm             klausw               Sonstige Systeme
FHEM/55_DWD_OpenData.pm      jensb                Unterstuetzende Dienste/Wettermodule
FHEM/55_InfoPanel.pm         betateilchen         Unterstuetzende Dienste
FHEM/55_PIFACE.pm            klaus.schauer        Einplatinencomputer
FHEM/56_POKEYS.pm            axelberner           Sonstiges
FHEM/57_Calendar.pm          neubert              Unterstuetzende Dienste/Kalendermodule
FHEM/57_CALVIEW.pm           chris1284            Unterstuetzende Dienste/Kalendermodule
FHEM/59_HCS.pm               hjr                  Automatisierung (oder auch PM)
FHEM/59_LuftdatenInfo        igami                Bastelecke
FHEM/59_OPENWEATHER.pm       tupol                Unterstuetzende Dienste/Wettermodule (Link als PM an tupol)
FHEM/59_Twilight.pm          igami                Unterstuetzende Dienste/Wettermodule
FHEM/59_PROPLANTA.pm         tupol                Unterstuetzende Dienste/Wettermodule (Link als PM an tupol)
FHEM/59_WWO.pm               baumrasen            Unterstuetzende Dienste/Wettermodule
FHEM/59_Weather.pm           neubert              Unterstuetzende Dienste/Wettermodule
FHEM/59_Wunderground.pm      loredo               Unterstuetzende Dienste/Wettermodule
FHEM/59_WUup.pm              mahowi               Unterstuetzende Dienste/Wettermodule
FHEM/60_allergy.pm           markus-m             Unterstuetzende Dienste
FHEM/60_EM.pm                rudolfkoenig         SlowRF
FHEM/61_EMWZ.pm              rudolfkoenig         SlowRF
FHEM/62_EMEM.pm              rudolfkoenig         SlowRF
FHEM/63_EMGZ.pm              rudolfkoenig         SlowRF
FHEM/64_ESA2000.pm           stromer-12           SlowRF
FHEM/66_ECMD.pm              neubert              Sonstige Systeme
FHEM/67_ECMDDevice.pm        neubert              Sonstige Systeme
FHEM/70_BRAVIA.pm            vuffiraa             Multimedia
FHEM/70_EGPM.pm              alexus               Sonstiges
FHEM/70_ENIGMA2.pm           loredo               Multimedia
FHEM/70_Jabber.pm            BioS                 Unterstuetzende Dienste
FHEM/70_JSONMETER.pm         tupol                Sonstiges (Link als PM an tupol)
FHEM/70_MEDIAPORTAL.pm       Reinerlein           Multimedia
FHEM/70_PHTV.pm              loredo               Multimedia
FHEM/70_ONKYO_AVR.pm         loredo               Multimedia
FHEM/70_PIONEERAVR.pm        50watt               Multimedia
FHEM/70_SCIVT.pm             rudolfkoenig/orphan  Sonstiges
FHEM/70_SISPM.pm             real-wusel           Sonstiges
FHEM/70_SML.pm               bentele              Sonstiges
FHEM/70_STV.pm               bentele              Sonstiges
FHEM/70_TellStick.pm         real-wusel           Sonstiges
FHEM/70_USBWX.pm             wherzig              Sonstiges
FHEM/70_VIERA.pm             teevau               Sonstiges
FHEM/70_VolumeLink.pm        rapster              Multimedia
FHEM/70_WS3600.pm            Josch                Sonstiges
FHEM/70_XBMC.pm              vbs                  Multimedia
FHEM/70_KODI.pm              vbs                  Multimedia
FHEM/70_NEUTRION.pm          michael.winkler      Multimedia
FHEM/70_WINCONNECT.pm        michael.winkler      Sonstige Systeme
FHEM/70_Pushbullet.pm        fhainz               Unterstuetzende Dienste
FHEM/70_Pushover.pm          loredo               Unterstuetzende Dienste
FHEM/70_PushNotifier.pm      xusader              Unterstuetzende Dienste
FHEM/70_Pushalot.pm          Talkabout            Unterstuetzende Dienste
FHEM/70_Pushsafer.pm         markusbloch          Unterstuetzende Dienste
FHEM/70_DoorPi.pm            pahenning            Automatisierung
FHEM/71_ONKYO_AVR_ZONE.pm    loredo               Multimedia
FHEM/71_PHILIPS_AUDIO.pm     ra666ack             Multimedia
FHEM/71_YAMAHA_AVR.pm        markusbloch          Multimedia
FHEM/71_YAMAHA_BD.pm         markusbloch          Multimedia
FHEM/71_YAMAHA_NP.pm         ra666ack             Multimedia
FHEM/72_FB_CALLMONITOR.pm    markusbloch          Unterstuetzende Dienste
FHEM/72_FB_CALLLIST.pm       markusbloch          Frontends
FHEM/72_FRITZBOX.pm          tupol                FRITZBOX (link als PM an tupol)
FHEM/72_XiaomiDevice.pm      markus-m             Sonstige Systeme
FHEM/73_ElectricityCalculator.pm Sailor           http://forum.fhem.de/index.php/topic,57106.0.html
FHEM/73_GasCalculator        Sailor               http://forum.fhem.de/index.php/topic,47909.0.html
FHEM/73_km200.pm             Sailor               http://forum.fhem.de/index.php/topic,25540.0.html
FHEM/73_PRESENCE.pm          markusbloch          Unterstuetzende Dienste
FHEM/73_MPD.pm               Wzut                 Multimedia
FHEM/73_AMADCommBridge.pm    CoolTux              Sonstige Systeme
FHEM/73_GardenaSmartBridge.pm CoolTux             Sonstige Systeme
FHEM/74_NUKIBridge.pm        CoolTux              Sonstige Systeme
FHEM/74_AMADDevice.pm        CoolTux              Sonstige Systeme
FHEM/74_GardenaSmartDevice.pm CoolTux             Sonstige Systeme
FHEM/74_HOMBOT.pm            CoolTux              sonstige Systeme
FHEM/74_HusqvarnaAutomower.pm krannich            Sonstige Systeme
FHEM/74_NUKIDevice.pm        CoolTux              Sonstige Systeme
FHEM/74_Nmap.pm              igami                Unterstuetzende Dienste
FHEM/74_XiaomiBTLESens       CoolTux              Sonstige Systeme
FHEM/74_THINKINGCLEANER.pm   loredo               Unterstuetzende Dienste
FHEM/74_Unifi.pm             rapster/Wuehler      Automatisierung
FHEM/74_UnifiSwitch.pm       Wuehler              Automatisierung
FHEM/74_UnifiVideo.pm        justme1968           Sonstiges
FHEM/75_MSG.pm               loredo               Automatisierung
FHEM/75_msgConfig.pm         loredo               Automatisierung
FHEM/76_msgDialog.pm         igami                Frontends/Sprachsteuerung
FHEM/76_MSGFile.pm           gandy                Automatisierung
FHEM/76_MSGMail.pm           gandy                Automatisierung
FHEM/76_SMAInverter.pm       sct14675/DS_Starter  Sonstige Systeme
FHEM/77_UWZ.pm               CoolTux              Unterstuetzende Dienste/Wettermodule
FHEM/77_SMAEM.pm             VolkerKettenbach     Sonstige Systeme
FHEM/77_SMASTP.pm            VolkerKettenbach     Sonstige Systeme
FHEM/79_BDKM.pm              arnoaugustin         Heizungssteuerung/Raumklima (bitte auch PM)
FHEM/80_M232.pm              neubert              Sonstige Systeme
FHEM/81_M232Counter.pm       neubert              Sonstige Systeme
FHEM/82_LGTV_IP12.pm         markusbloch          Multimedia
FHEM/82_LGTV_WebOS.pm        CoolTux              Multimedia
FHEM/82_M232Voltage.pm       neubert              Sonstige Systeme
FHEM/83_IOhomecontrol.pm     neubert              Sonstige Systeme
FHEM/87_WS2000.pm            tdressler            Sonstiges
FHEM/86_Robonect.pm          andi291              Sonstige Systeme
FHEM/88_ALL4000T.pm          sachag               Sonstiges
FHEM/88_HMCCU.pm             zap                  HomeMatic
FHEM/88_HMCCUCHN.pm          zap                  HomeMatic
FHEM/88_HMCCUDEV.pm          zap                  HomeMatic
FHEM/88_LINDY_HDMI_SWITCH.pm sachag               Multimedia
FHEM/88_IPWE.pm              tdressler            Sonstiges
FHEM/88_Itach_Relay.pm       sachag               Automatisierung
FHEM/88_Itach_IRDevice       ulimaass             Sonstige Systeme
FHEM/88_VantagePro2.pm       sachag               Sonstiges
FHEM/88_WEBCOUNT.pm          sachag               Sonstiges
FHEM/88_xs1Bridge.pm         HomeAuto_User        Sonstige Systeme
FHEM/88_xs1Dev.pm         	 HomeAuto_User        Sonstige Systeme
FHEM/89_FULLY.pm             zap                  Frontends
FHEM/89_HEATRONIC.pm         heikoranft           Sonstige Systeme
FHEM/89_VCONTROL.pm          adamwit              Heizungssteuerung/Raumklima
FHEM/90_at.pm                rudolfkoenig         Automatisierung
FHEM/14_SIGNALduino_un.pm    Sidey                Sonstige Systeme
